Colorectal cancer,,,,,ab_c
Glycyl-Phenylalanine,HMDB0028848,NCC(O)=NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Glycylproline,HMDB0000721,NCC(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Glycyl-Threonine,HMDB0028851,CC(O)C(NC(=O)CN)C(O)=O,Feces,Not Specified,
Glycyl-Tryptophan,HMDB0028852,NCC(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Glycyltyrosine,HMDB0028853,NCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Glycylvaline,HMDB0028854,CC(C)[C@H](NC(=O)CN)C(O)=O,Feces,Not Specified,
Heptaethylene glycol,HMDB0061835,OCCOCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
Heptanoic acid,HMDB0000666,CCCCCCC(O)=O,Feces,Not Specified,
Hexadecanedioic acid,HMDB0000672,OC(=O)CCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Hexadecanedioic acid mono-L-carnitine ester,HMDB0000712,C[N+](C)(C)CC(CC([O-])=O)OC(=O)CCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Hexaethylene glycol,HMDB0061822,OCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
Histamine,HMDB0000870,NCCC1=CNC=N1,Feces,Not Specified,
L-Histidine,HMDB0000177,N[C@@H](CC1=CN=CN1)C(O)=O,Feces,Not Specified,
Histidylisoleucine,HMDB0028888,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Histidylleucine,HMDB0028889,CC(C)C[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Histidylphenylalanine,HMDB0028892,N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Histidylproline,HMDB0028893,N[C@@H](CC1=CNC=N1)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Histidylvaline,HMDB0028898,CC(C)[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Homocitrulline,HMDB0000679,N[C@@H](CCCCNC(N)=O)C(O)=O,Feces,Not Specified,
Homocysteine,HMDB0000742,N[C@@H](CCS)C(O)=O,Feces,Not Specified,
(S)-Homostachydrine,HMDB0033433,C[N+]1(C)CCCC[C@H]1C([O-])=O,Feces,Not Specified,
Hypoxanthine,HMDB0000157,OC1=NC=NC2=C1NC=N2,Feces,Not Specified,
Imidazolepropionic acid,HMDB0002271,OC(=O)CCC1=CNC=N1,Feces,Not Specified,
Indole-3-propionic acid,HMDB0002302,OC(=O)CCC1=CNC2=C1C=CC=C2,Feces,Not Specified,
myo-Inositol 1-phosphate,HMDB0000213,O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,Feces,Not Specified,
L-Isoleucine,HMDB0000172,CC[C@H](C)[C@H](N)C(O)=O,Feces,Not Specified,
Isoleucyl-Alanine,HMDB0028900,CCC(C)C(N)C(=O)NC(C)C(O)=O,Feces,Not Specified,
Isoleucyl-Asparagine,HMDB0028902,CCC(C)C(N)C(=O)NC(CC(N)=O)C(O)=O,Feces,Not Specified,
Isoleucyl-Aspartate,HMDB0028903,CCC(C)C(N)C(=O)NC(CC(O)=O)C(O)=O,Feces,Not Specified,
Isoleucyl-Glutamate,HMDB0028906,CCC(C)C(N)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Isoleucyl-Glycine,HMDB0028907,CCC(C)C(N)C(=O)NCC(O)=O,Feces,Not Specified,
Isoleucyl-Isoleucine,HMDB0028910,CCC(C)C(N)C(=O)NC(C(C)CC)C(O)=O,Feces,Not Specified,
Isoleucyl-Leucine,HMDB0028911,CCC(C)C(N)C(=O)NC(CC(C)C)C(O)=O,Feces,Not Specified,
Isoleucyl-Phenylalanine,HMDB0028914,CCC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Isoleucyl-Serine,HMDB0028916,CCC(C)C(N)C(=O)NC(CO)C(O)=O,Feces,Not Specified,
Isoleucyl-Threonine,HMDB0028917,CCC(C)C(N)C(=O)NC(C(C)O)C(O)=O,Feces,Not Specified,
Isoleucyl-Tryptophan,HMDB0028918,CCC(C)C(N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Isoleucyl-Valine,HMDB0028920,CCC(C)C(N)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
Isovalerylglycine,HMDB0000678,CC(C)CC(=O)NCC(O)=O,Feces,Not Specified,
Kynurenic acid,HMDB0000715,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,Feces,Not Specified,
L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,Feces,Not Specified,
Lathosterol,HMDB0001170,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
Dodecanoic acid,HMDB0000638,CCCCCCCCCCCC(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
Leucylalanine,HMDB0028922,CC(C)C[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Leucyl-Asparagine,HMDB0028924,CC(C)CC(N)C(=O)NC(CC(N)=O)C(O)=O,Feces,Not Specified,
Leucyl-Glutamate,HMDB0028928,CC(C)CC(N)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Leucyl-Glycine,HMDB0028929,CC(C)CC(N)C(=O)NCC(O)=O,Feces,Not Specified,
Leucylleucine,HMDB0028933,CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(O)=O,Feces,Not Specified,
Leucylphenylalanine,HMDB0013243,CC(C)C[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Leucyl-Serine,HMDB0028938,CC(C)CC(N)C(O)=NC(CO)C(O)=O,Feces,Not Specified,
Leucyl-Threonine,HMDB0028939,CC(C)CC(N)C(=O)NC(C(C)O)C(O)=O,Feces,Not Specified,
Leucyl-Tryptophan,HMDB0028940,CC(C)CC(N)C(O)=NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Leucyl-Tyrosine,HMDB0028941,CC(C)CC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Leucyl-Valine,HMDB0028942,CC(C)CC(N)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
Levulinic acid,HMDB0000720,CC(=O)CCC(O)=O,Feces,Not Specified,
Lidocaine,HMDB0014426,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,Feces,Not Specified,
Tetracosanoic acid,HMDB0002003,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Linoleamide,HMDB0062656,[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])CCCCCCCC(O)=N,Feces,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
alpha-Linolenic acid,HMDB0001388,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
gamma-Linolenic acid,HMDB0003073,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O,Feces,Not Specified,
L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
Lysylisoleucine,HMDB0028954,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Lysylleucine,HMDB0028955,CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Lysylphenylalanine,HMDB0028958,NCCCC[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Lysylproline,HMDB0028959,NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Lysyltyrosine,HMDB0028963,NCCCC[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Lysylvaline,HMDB0028964,CC(C)[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Malic acid,HMDB0000156,O[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Malate,HMDB0000744,OC(CC(O)=O)C(O)=O,Feces,Not Specified,
D-Malic acid,HMDB0031518,O[C@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Malonic acid,HMDB0000691,OC(=O)CC(O)=O,Feces,Not Specified,
D-Mannose,HMDB0000169,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Heptadecanoic acid,HMDB0002259,CCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
L-Methionine,HMDB0000696,CSCC[C@H](N)C(O)=O,Feces,Not Specified,
Methionine sulfoxide,HMDB0002005,CS(=O)CC[C@H](N)C(O)=O,Feces,Not Specified,
Methylparaben,HMDB0032572,COC(=O)C1=CC=C(O)C=C1,Feces,Not Specified,
Methylphosphate,HMDB0061711,COP(O)(O)=O,Feces,Not Specified,
Methylsuccinic acid,HMDB0001844,C[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
myo-Inositol,HMDB0000211,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,Feces,Not Specified,
Myristic acid,HMDB0000806,CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
2-Furoylglycine,HMDB0000439,OC(=O)CNC(=O)C1=CC=CO1,Feces,Not Specified,
N-Acetyl-L-alanine,HMDB0000766,C[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-a-Acetyl-L-arginine,HMDB0004620,CC(=O)N[C@@H](CCCNC(N)=N)C(O)=O,Feces,Not Specified,
N-Acetyl-L-aspartic acid,HMDB0000812,CC(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
N-Acetyl-D-glucosamine,HMDB0000215,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
N-Acetylglutamine,HMDB0006029,CC(=O)N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
Acetylglycine,HMDB0000532,CC(=O)NCC(O)=O,Feces,Not Specified,
N-Acetylhistidine,HMDB0032055,CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O,Feces,Not Specified,
N-Acetylleucine,HMDB0011756,CC(C)C[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-Acetyl-L-methionine,HMDB0011745,CSCC[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-Acetylmuramate,HMDB0060493,[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)OC([H])(O)[C@]1([H])N=C(C)O)C(O)=O,Feces,Not Specified,
N-Acetyl-L-phenylalanine,HMDB0000512,CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
N-Acetylproline,HMDB0094701,[H][C@]1(CCCN1C(C)=O)C(O)=O,Feces,Not Specified,
N-Acetylputrescine,HMDB0002064,CC(=O)NCCCCN,Feces,Not Specified,
N-Acetyltryptophan,HMDB0013713,CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
N-Acetyl-L-tyrosine,HMDB0000866,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
N-Acetylvaline,HMDB0011757,CC(C)[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-Methyl-L-proline,HMDB0094696,CN1CCC[C@H]1C(O)=O,Feces,Not Specified,
alpha-Methylphenylalanine,HMDB0029223,CC(N)(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
1-Methyladenosine,HMDB0003331,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,Feces,Not Specified,
N-alpha-Acetyl-L-lysine,HMDB0000446,CC(=O)N[C@@H](CCCCN)C(O)=O,Feces,Not Specified,
N6-Acetyl-L-lysine,HMDB0000206,CC(=O)NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
Nervonic acid,HMDB0002368,CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Niacinamide,HMDB0001406,NC(=O)C1=CC=CN=C1,Feces,Not Specified,
Nicotinic acid ribonucleoside,HMDB0006809,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N+]1=CC=CC(=C1)C(O)=O,Feces,Not Specified,
Nonadecanoic acid,HMDB0000772,CCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Octaethylene glycol,HMDB0094680,OCCOCCOCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
Oleic acid,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Oleoylethanolamide,HMDB0002088,CCCCCCCC\C=C/CCCCCCCC(=O)NCCO,Feces,Not Specified,
Ornithine,HMDB0000214,NCCC[C@H](N)C(O)=O,Feces,Not Specified,
Orotic acid,HMDB0000226,OC(=O)C1=CC(=O)NC(=O)N1,Feces,Not Specified,
p-Aminobenzoic acid,HMDB0001392,NC1=CC=C(C=C1)C(O)=O,Feces,Not Specified,
p-Cresol sulfate,HMDB0011635,CC1=CC=C(OS(O)(=O)=O)C=C1,Feces,Not Specified,
4-Hydroxybenzaldehyde,HMDB0011718,OC1=CC=C(C=O)C=C1,Feces,Not Specified,
Palmitic acid,HMDB0000220,CCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Palmitic amide,HMDB0012273,CCCCCCCCCCCCCCCC(N)=O,Feces,Not Specified,
Palmitoylethanolamide,HMDB0002100,CCCCCCCCCCCCCCCC(=O)NCCO,Feces,Not Specified,
Pantothenic acid,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Feces,Not Specified,
Pelargonic acid,HMDB0000847,CCCCCCCCC(O)=O,Feces,Not Specified,
Pentadecanoic acid,HMDB0000826,CCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Phenylacetic acid,HMDB0000209,OC(=O)CC1=CC=CC=C1,Feces,Not Specified,
L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylalanine,HMDB0028988,C[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylaspartic acid,HMDB0028991,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Phenylalanylglycine,HMDB0028995,N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O,Feces,Not Specified,
Phenylalanylisoleucine,HMDB0028998,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylphenylalanine,HMDB0013302,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylserine,HMDB0029004,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CO)C(O)=O,Feces,Not Specified,
Phenylalanyltyrosine,HMDB0029007,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Phenylalanylvaline,HMDB0029008,CC(C)[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
D-Phenyllactic acid,HMDB0000563,[H][C@](O)(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
L-3-Phenyllactic acid,HMDB0000748,O[C@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phosphate,HMDB0001429,OP(O)(O)=O,Feces,Not Specified,
Phytol,HMDB0002019,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CO,Feces,Not Specified,
Pipecolic acid,HMDB0000070,OC(=O)C1CCCCN1,Feces,Not Specified,
Piperine,HMDB0029377,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,Feces,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
Prolyl-Alanine,HMDB0029010,CC(NC(=O)C1CCCN1)C(O)=O,Feces,Not Specified,
Prolylphenylalanine,HMDB0011179,OC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H]1CCCN1,Feces,Not Specified,
Pterin,HMDB0000802,NC1=NC2=NC=CN=C2C(=O)N1,Feces,Not Specified,
Putrescine,HMDB0001414,NCCCCN,Feces,Not Specified,
Pyridoxal,HMDB0001545,CC1=NC=C(CO)C(C=O)=C1O,Feces,Not Specified,
4-Pyridoxic acid,HMDB0000017,CC1=NC=C(CO)C(C(O)=O)=C1O,Feces,Not Specified,
Pyroglutamylvaline,HMDB0094651,CC(C)[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(O)=O,Feces,Not Specified,
Rhamnose,HMDB0000849,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,Feces,Not Specified,
Riboflavin,HMDB0000244,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Feces,Not Specified,
D-Ribose,HMDB0000283,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,Feces,Not Specified,
L-Ribulose,HMDB0003371,OC[C@]1(O)OC[C@H](O)[C@@H]1O,Feces,Not Specified,
Saccharopine,HMDB0000279,N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O,Feces,Not Specified,
Salicylic acid,HMDB0001895,OC(=O)C1=C(O)C=CC=C1,Feces,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Feces,Not Specified,
Serylisoleucine,HMDB0029042,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
Serylleucine,HMDB0029043,CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
Serylproline,HMDB0029047,N[C@@H](CO)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Serylvaline,HMDB0029052,CC(C)[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
Sphinganine,HMDB0000269,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,Feces,Not Specified,
Sphingosine,HMDB0000252,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO,Feces,Not Specified,
Proline betaine,HMDB0004827,C[N+]1(C)CCC[C@H]1C([O-])=O,Feces,Not Specified,
Octadecanamide,HMDB0034146,CCCCCCCCCCCCCCCCCC(N)=O,Feces,Not Specified,
Stearic acid,HMDB0000827,CCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Stearidonic acid,HMDB0006547,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O,Feces,Not Specified,
Stearoylethanolamide,HMDB0013078,CCCCCCCCCCCCCCCCCC(=O)NCCO,Feces,Not Specified,
Suberic acid,HMDB0000893,OC(=O)CCCCCCC(O)=O,Feces,Not Specified,
Succinic acid,HMDB0000254,OC(=O)CCC(O)=O,Feces,Not Specified,
Taurine,HMDB0000251,NCCS(O)(=O)=O,Feces,Not Specified,
Thiamine,HMDB0000235,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,Feces,Not Specified,
Threonic acid,HMDB0000943,OC[C@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
L-Threonic Acid,HMDB0062620,OC[C@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
Thymine,HMDB0000262,CC1=CNC(=O)NC1=O,Feces,Not Specified,
Trans-urocanate,HMDB0062562,OC(=O)C=CC1=CN=CN1,Feces,Not Specified,
"1,2,3-Propanetricarboxylic acid",HMDB0031193,OC(=O)CC(CC(O)=O)C(O)=O,Feces,Not Specified,
L-Tryptophan,HMDB0000929,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
D-Tryptophan,HMDB0013609,N[C@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tryptophyl-Alanine,HMDB0029076,CC(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tryptophyl-Glutamate,HMDB0029082,NC(CC1=CNC2=C1C=CC=C2)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Tryptophyl-Glycine,HMDB0029083,NC(CC1=CNC2=C1C=CC=C2)C(=O)NCC(O)=O,Feces,Not Specified,
Tryptophyl-Isoleucine,HMDB0029086,CCC(C)C(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tryptophyl-Proline,HMDB0029091,NC(CC1=CNC2=C1C=CC=C2)C(=O)N1CCCC1C(O)=O,Feces,Not Specified,
Tryptophyl-Valine,HMDB0029096,CC(C)C(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tyramine,HMDB0000306,NCCC1=CC=C(O)C=C1,Feces,Not Specified,
L-Tyrosine,HMDB0000158,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Alanine,HMDB0029098,CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Glutamate,HMDB0029104,NC(CC1=CC=C(O)C=C1)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Tyrosyl-Glutamine,HMDB0029103,NC(CC1=CC=C(O)C=C1)C(=O)NC(CCC(N)=O)C(O)=O,Feces,Not Specified,
Tyrosyl-Isoleucine,HMDB0029108,CCC(C)C(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Leucine,HMDB0029109,CC(C)CC(N=C(O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Phenylalanine,HMDB0029112,NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Tyrosine,HMDB0029117,NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Valine,HMDB0029118,CC(C)C(N=C(O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Undecanedioic acid,HMDB0000888,OC(=O)CCCCCCCCCC(O)=O,Feces,Not Specified,
Undecanoic acid,HMDB0000947,CCCCCCCCCCC(O)=O,Feces,Not Specified,
Uracil,HMDB0000300,O=C1NC=CC(=O)N1,Feces,Not Specified,
Uric acid,HMDB0000289,O=C1NC2=C(N1)C(=O)NC(=O)N2,Feces,Not Specified,
Urea,HMDB0000294,NC(N)=O,Feces,Not Specified,
Val-Val-Val,HMDB0094676,CC(C)C(N)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Feces,Not Specified,
Valylalanine,HMDB0029120,CC(C)[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Valylaspartic acid,HMDB0029123,CC(C)[C@H](N)C(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Valylglutamic acid,HMDB0029126,CC(C)[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Valylglutamine,HMDB0029125,CC(C)[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
Valylglycine,HMDB0029127,CC(C)[C@H](N)C(=O)NCC(O)=O,Feces,Not Specified,
Valylisoleucine,HMDB0029130,CC[C@H](C)[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
Valylleucine,HMDB0029131,CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
Valyllysine,HMDB0029132,CC(C)[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O,Feces,Not Specified,
Valylmethionine,HMDB0029133,CSCC[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
Valylphenylalanine,HMDB0029134,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Valylserine,HMDB0029136,CC(C)[C@H](N)C(=O)N[C@@H](CO)C(O)=O,Feces,Not Specified,
Valyltryptophan,HMDB0029138,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Valyltyrosine,HMDB0029139,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Valylvaline,HMDB0029140,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,Feces,Not Specified,
Xanthine,HMDB0000292,O=C1NC2=C(NC=N2)C(=O)N1,Feces,Not Specified,
D-Xylose,HMDB0000098,O[C@@H]1COC(O)[C@H](O)[C@H]1O,Feces,Not Specified,
(R)-Salsolinol,HMDB0005199,CC1NCCC2=C1C=C(O)C(O)=C2,Feces,Not Specified,
"1,11-Undecanedicarboxylic acid",HMDB0002327,OC(=O)CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Propylene glycol,HMDB0001881,C[C@@H](O)CO,Feces,Not Specified,
"1,3,7-Trimethyluric acid",HMDB0002123,CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2C,Feces,Not Specified,
Dihydroxyacetone,HMDB0001882,OCC(=O)CO,Feces,Not Specified,
"1,3-Dimethyluric acid",HMDB0001857,CN1C2=C(NC(=O)N2)C(=O)N(C)C1=O,Feces,Not Specified,
Levoglucosan,HMDB0000640,[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O,Feces,Not Specified,
"1,7-Dimethyluric acid",HMDB0011103,CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2,Feces,Not Specified,
1-Hexadecanol,HMDB0003424,CCCCCCCCCCCCCCCCO,Feces,Not Specified,
1-Methyluric acid,HMDB0003099,CN1C(=O)NC2=C(NC(=O)N2)C1=O,Feces,Not Specified,
1-Methylxanthine,HMDB0010738,CN1C(=O)NC2=C(NC=N2)C1=O,Feces,Not Specified,
Octadecanol,HMDB0002350,CCCCCCCCCCCCCCCCCCO,Feces,Not Specified,
MG(18:1(9Z)/0:0/0:0),HMDB0011567,[H][C@](O)(CO)COC(=O)CCCCCCC\C=C/CCCCCCCC,Feces,Not Specified,
MG(16:0/0:0/0:0),HMDB0011564,[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCC,Feces,Not Specified,
MG(18:0/0:0/0:0),HMDB0011131,[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCCCC,Feces,Not Specified,
LysoPC(18:0/0:0),HMDB0010384,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,Feces,Not Specified,
1-Stearoylglycerophosphoglycerol,HMDB0061697,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,Feces,Not Specified,
